,Unnamed: 0,FID,Id,aspect,Mountain_G,NAME,lungime,latime,x_utm,y_utm,geologie_2,Shape_Leng,Shape_Area,lon,lat,epsg,RG_RW,x,y
79,79,229.0,132.0,3.0,Retezat, ,125.0,166.0,339921.5022,431570.1843,4.0,553.3142733,16574.45208,22.9546226196447,45.3654752198227,3844,RG,339921.5030679188,431570.18440883025
80,80,230.0,133.0,3.0,Retezat, ,126.0,223.0,328758.677,430464.5092,7.0,635.3311288,23595.06508,22.8125690129965,45.3528750918021,3844,RG,328758.6778743283,430464.5093097384
81,81,231.0,134.0,3.0,Retezat, ,308.0,127.0,328678.237,430721.4087,7.0,899.9810754,35667.40351,22.8114532386801,45.3551660671797,3844,RG,328678.23787435435,430721.4088097166
82,82,232.0,135.0,6.0,Retezat, ,95.0,443.0,329117.2208,430960.7768,7.0,1049.283699,36683.22296,22.8169703782082,45.3574269352004,3844,RG,329117.2216740906,430960.7769096534
83,83,233.0,136.0,7.0,Retezat, ,113.0,395.0,328814.977,431417.7702,7.0,952.2022327,30748.44273,22.8129550186545,45.3614632833743,3844,RG,328814.97787422617,431417.7703096201
84,84,234.0,137.0,8.0,Retezat, ,287.0,136.0,330396.2368,431407.2765,7.0,720.9685545,22606.39123,22.8331342264116,45.361755674698,3844,RG,330396.23767332814,431407.2766095059
85,85,235.0,138.0,3.0,Retezat, ,680.0,206.0,331215.668,434636.1778,7.0,1723.074411,101431.2048,22.8424791346543,45.3909982935823,3844,RG,331215.66887263703,434636.177909062
86,86,236.0,139.0,3.0,Retezat, ,189.0,250.0,334089.9006,434609.9604,7.0,777.2005466,38695.42545,22.879180848581,45.3914534891736,3844,RG,334089.9014710045,434609.96050886816
87,87,237.0,140.0,2.0,Retezat, ,123.0,297.0,332738.1164,427508.7053,4.0,909.9695713,40779.82726,22.8643421391114,45.3272542779637,3844,RG,332738.11727227794,427508.70540982095
88,88,238.0,141.0,3.0,Retezat, ,205.0,124.0,333043.9601,432303.9429,7.0,582.9178266,20539.31691,22.8666128092963,45.3704608060975,3844,RG,333043.960971767,432303.943009223
89,89,239.0,142.0,2.0,Retezat, ,93.0,174.0,328532.6017,431074.0431,7.0,446.6457611,10775.11089,22.8094721804018,45.3583020990952,3844,RG,328532.60257441807,431074.0432096798
90,90,240.0,143.0,2.0,Retezat, ,110.0,193.0,327552.8893,431236.7061,7.0,593.684826,14135.09987,22.7969156334133,45.3595233881591,3844,RG,327552.8901749634,431236.7062097279
91,91,241.0,144.0,8.0,Retezat, ,169.0,155.0,330702.5452,430951.3491,7.0,594.701094,15927.53234,22.8371996675573,45.3577291765619,3844,RG,330702.5460731891,430951.34920954006
92,92,242.0,145.0,3.0,Retezat, ,186.0,125.0,338986.4299,436276.0398,7.0,585.16967,19472.20802,22.9411456680159,45.4075903069514,3844,RG,338986.43076811754,436276.03990832064
93,93,243.0,146.0,8.0,Retezat, ,41.0,747.0,339808.1971,434984.6676,7.0,1596.687761,34120.55518,22.9520619485271,45.396163671951,3844,RG,339808.1979677357,434984.66770842334
94,94,244.0,147.0,6.0,Retezat, ,158.0,86.0,336791.8633,431944.4747,7.0,414.833826,9148.523343,22.9145619359214,45.3681157285021,3844,RG,336791.8641696665,431944.474809002
95,95,245.0,148.0,6.0,Retezat, ,62.0,197.0,337189.413,432085.8356,7.0,448.291652,7768.906018,22.9195882821217,45.3694803494072,3844,RG,337189.4138694316,432085.8357089464
96,96,246.0,149.0,6.0,Retezat, ,72.0,147.0,334607.113,429944.6086,7.0,496.6828329,10907.3234,22.8873556366372,45.3496113599374,3844,RG,334607.11387104273,429944.6087093907
97,97,247.0,150.0,7.0,Retezat, ,55.0,159.0,332291.8253,430183.1048,7.0,365.2862429,5496.19623,22.8577387681776,45.3512032397828,3844,RG,332291.8261723388,430183.1049095205
98,98,248.0,151.0,4.0,Retezat, ,44.0,197.0,339785.2568,431040.2371,4.0,476.2280873,9069.542811,22.9530569252228,45.3606768197405,3844,RG,339785.2576680338,431040.23720890004
99,99,249.0,152.0,8.0,Retezat, ,83.0,152.0,331556.0342,430079.7674,7.0,397.6584106,8097.052614,22.8483877144501,45.3500962456969,3844,RG,331556.0350727651,430079.76750958746
100,100,250.0,153.0,8.0,Retezat, ,68.0,74.0,331707.2757,430207.8708,7.0,224.4175598,3528.884932,22.8502731840594,45.3512850712329,3844,RG,331707.2765726744,430207.8709095615
101,101,251.0,154.0,1.0,Retezat, ,85.0,67.0,333963.8063,432260.4361,7.0,244.3651553,4266.877766,22.8783661524568,45.3702893667268,3844,RG,333963.80717124353,432260.43620916206
102,102,252.0,155.0,1.0,Retezat, ,108.0,63.0,334220.7325,432181.1417,7.0,305.715681,5869.326281,22.8816716947902,45.3696373145521,3844,RG,334220.73337110464,432181.1418091532
103,103,253.0,156.0,1.0,Retezat, ,158.0,80.0,331160.4186,434122.5075,7.0,392.9575328,8697.898273,22.8419506378207,45.3863644971671,3844,RG,331160.4194727086,434122.5076091257
104,104,254.0,1.0,1.0,Tarcu,Netis18,696.0,217.0,318727.8121,432146.6429,3.0,1716.218469,85829.24262,22.6839902371382,45.3654672424786,3844,RG,318727.8129799196,432146.64301023865
105,105,255.0,2.0,3.0,Tarcu,Suculetu1,546.0,206.0,309081.2376,425108.5238,6.0,1339.813557,70860.20995,22.5636474642035,45.2995924394309,3844,RG,309081.2384859256,425108.5239117763
106,106,256.0,3.0,2.0,Tarcu,Netis12,328.0,152.0,317359.2862,433548.9036,3.0,836.635843,37321.41609,22.666007486122,45.377721798299,3844,RG,317359.2870805965,433548.9037101575
107,107,257.0,4.0,1.0,Tarcu,Netis3,599.0,215.0,317940.1711,432442.9267,3.0,1406.374506,84529.83442,22.6738308169414,45.3679266410334,3844,RG,317940.17198034504,432442.926810256
108,108,258.0,5.0,2.0,Tarcu,Netis2,442.0,125.0,317759.9637,432132.7468,3.0,1002.559322,41441.95178,22.6716465639386,45.3650897293699,3844,RG,317759.96458047524,432132.746910305
109,109,259.0,6.0,8.0,Tarcu,Suculetu6,380.0,188.0,308865.8087,426515.0259,6.0,970.7512355,58886.53153,22.56035616048,45.3121829683099,3844,RG,308865.8095859488,426515.02601160895
110,110,260.0,7.0,7.0,Tarcu,Suculetu7,108.0,239.0,308311.8207,425919.4707,6.0,662.1900986,21702.9942,22.5535268239355,45.3066748087503,3844,RG,308311.82158630295,425919.4708117285
111,111,261.0,8.0,4.0,Tarcu,Suculetu8,71.0,272.0,308250.1385,426084.8,6.0,657.5936718,13071.84136,22.5526762961399,45.3081447563131,3844,RG,308250.1393863316,426084.80011171434
112,112,262.0,9.0,7.0,Tarcu,Suculetu9,73.0,217.0,308271.2279,426343.1055,6.0,548.6754803,13637.11166,22.5528444847948,45.3104736347719,3844,RG,308271.22878629854,426343.10561167647
113,113,263.0,10.0,1.0,Tarcu,Suculetu10,423.0,126.0,308176.66,426409.6632,6.0,1104.38004,44198.64317,22.5516132060552,45.3110462280215,3844,RG,308176.66088634916,426409.66331167007
114,114,264.0,11.0,1.0,Tarcu,Matania1,153.0,317.0,314302.4148,426303.1707,4.0,767.4120481,32483.7576,22.6297345838076,45.3117459798034,3844,RG,314302.4156828561,426303.1708112622
115,115,265.0,12.0,4.0,Tarcu,Matania3,136.0,234.0,313528.8866,426523.304,5.0,609.8089676,22994.88743,22.6197913561808,45.313519492402,3844,RG,313528.88748328004,426523.30411127955
116,116,266.0,13.0,1.0,Tarcu,Gropita2,42.0,186.0,317705.2832,430992.276,4.0,431.2626839,5152.183674,22.671372180913,45.3548179174609,3844,RG,317705.28408058616,430992.27611044626
117,117,267.0,14.0,1.0,Tarcu,Netis1,112.0,198.0,317448.7624,431969.8987,3.0,658.6475896,17902.53836,22.6677365046649,45.3635435778729,3844,RG,317448.7632806601,431969.89881034626
118,118,268.0,15.0,1.0,Tarcu,Netis16,647.0,155.0,318467.8642,432513.4319,3.0,1516.31771,75079.38019,22.6805379280875,45.3686984993676,3844,RG,318467.8650800431,432513.4320102063
119,119,269.0,16.0,3.0,Tarcu,Netis21,128.0,381.0,319106.2281,432633.9917,3.0,939.0475973,36222.83545,22.6886389533377,45.3699489143149,3844,RG,319106.2289796675,432633.9918101492
120,120,270.0,17.0,1.0,Tarcu,Netis19,366.0,103.0,318757.5279,431953.414,3.0,895.611022,34517.20358,22.6844407022988,45.36373704359,3844,RG,318757.52877991355,431953.41411025386
121,121,271.0,18.0,8.0,Tarcu,Netis20,114.0,492.0,318934.8972,431964.3409,3.0,1213.103246,35275.66461,22.6866996840064,45.3638814459338,3844,RG,318934.8980798135,431964.34101024433
122,122,272.0,19.0,8.0,Tarcu,Netis11,100.0,668.0,317623.624,433364.0347,3.0,1568.265845,49843.70831,22.6694496056079,45.3761283519282,3844,RG,317623.6248804616,433364.0348101638
123,123,273.0,20.0,5.0,Tarcu,Netis13,188.0,218.0,317584.1235,433585.6686,3.0,711.5389683,28465.84279,22.6688631471078,45.3781113977897,3844,RG,317584.1243804664,433585.6687101405
124,124,274.0,21.0,4.0,Tarcu,Netis8,215.0,180.0,317528.4772,433171.8267,3.0,624.4566671,27766.43271,22.6683068511134,45.3743746957088,3844,RG,317528.4780805275,433171.82681019214
125,125,275.0,22.0,8.0,Tarcu,Netis4,189.0,172.0,318247.3482,432909.1354,3.0,606.2322572,22008.27844,22.6775776891268,45.3721999983273,3844,RG,318247.3490801421,432909.1355101782
126,126,276.0,23.0,8.0,Tarcu,Netis17,65.0,90.0,318509.6658,432180.5026,3.0,311.8873945,5963.179009,22.6811943700599,45.3657149799426,3844,RG,318509.6666800374,432180.502710251
127,127,277.0,24.0,3.0,Tarcu,Netis6,99.0,282.0,317852.4113,432854.3312,3.0,728.7549311,17258.9737,22.6725584022282,45.3716039093276,3844,RG,317852.4121803683,432854.33131021535
128,128,278.0,25.0,4.0,Tarcu,Netis23,294.0,92.0,318253.5691,433788.5023,3.0,738.1111831,20011.7776,22.6773314456786,45.38011074887,3844,RG,318253.56998007436,433788.5024100726
129,129,279.0,26.0,1.0,Tarcu,Bistra8,160.0,303.0,317699.3229,434368.7575,3.0,858.9938545,41249.41624,22.6700423807534,45.3851847258957,3844,RG,317699.32378034736,434368.7576100331
130,130,280.0,27.0,3.0,Tarcu,Bistra9,64.0,98.0,317593.2909,434528.4668,3.0,279.5853577,5394.001736,22.6686296638437,45.3865933907016,3844,RG,317593.29178039904,434528.46691001754
131,131,281.0,28.0,8.0,Tarcu,Bistra7,85.0,156.0,317925.1414,434417.6409,3.0,408.0606797,10728.70281,22.6729064746631,45.3856834782189,3844,RG,317925.14228021214,434417.6410100119
132,132,282.0,29.0,8.0,Tarcu,Bistra6,165.0,73.0,318050.8583,434583.2762,3.0,402.1966443,9491.67427,22.6744496483509,45.387206083016,3844,RG,318050.8591801316,434583.2763099926
133,133,283.0,30.0,3.0,Tarcu,Bistra10,65.0,101.0,317588.7064,434649.7096,3.0,271.1669477,5053.679566,22.6685260667271,45.3876826550029,3844,RG,317588.70728038845,434649.7097100045
134,134,284.0,31.0,8.0,Tarcu,Bistra3,227.0,151.0,318324.4333,435058.6919,3.0,649.2973412,26086.42882,22.6777654798477,45.3915534664215,3844,RG,318324.43417994096,435058.6920099077
135,135,285.0,32.0,7.0,Tarcu,Bistra2,95.0,111.0,318421.5272,435313.2825,3.0,324.5133665,7731.716256,22.6789106269518,45.393868615165,3844,RG,318421.5280798705,435313.2826098673
136,136,286.0,33.0,1.0,Tarcu,Apa Neagra1,274.0,174.0,320048.7265,434576.7527,3.0,742.2160512,36117.50285,22.6999530720618,45.3876666826016,3844,RG,320048.7273789912,434576.7528098435
137,137,287.0,34.0,1.0,Tarcu,Peceneaga2,304.0,120.0,316409.3232,433428.3589,3.0,754.037888,26498.53695,22.6539294325129,45.3763878236502,3844,RG,316409.3240811456,433428.35901024065
138,138,288.0,35.0,1.0,Tarcu,Peceneaga3,346.0,168.0,316292.9382,433781.7058,3.0,842.8661119,42114.39852,22.6523119362574,45.3795351310713,3844,RG,316292.9390811899,433781.70591020666
139,139,289.0,36.0,8.0,Tarcu,Peceneaga7,325.0,142.0,316845.1058,434270.7162,3.0,921.8983736,36659.25537,22.6591762439682,45.3840787531125,3844,RG,316845.10668083874,434270.7163101115
140,140,290.0,37.0,1.0,Tarcu,Peceneaga6,566.0,276.0,316610.4641,434217.3502,3.0,1691.397444,98717.3682,22.6562014242146,45.3835370161661,3844,RG,316610.4649809763,434217.35031012585
141,141,291.0,38.0,1.0,Tarcu,Varang1,134.0,149.0,313545.0969,427536.7223,5.0,496.9205797,16210.78706,22.619613992579,45.3226383837939,3844,RG,313545.0977831996,427536.7224111621
142,142,292.0,39.0,8.0,Tarcu,Varang3,200.0,139.0,314053.1356,428229.6481,4.0,533.5632284,20345.83508,22.6258290703619,45.3290061336587,3844,RG,314053.1364828637,428229.64821103815
143,143,293.0,40.0,2.0,Tarcu,Varang4,612.0,195.0,313553.1171,427978.0519,4.0,1410.45121,68527.31203,22.6195489766257,45.3266097892397,3844,RG,313553.11798316415,427978.05201111146
144,144,294.0,41.0,8.0,Tarcu,Varang5,190.0,135.0,314190.3067,428385.5399,4.0,524.8786545,16976.51191,22.6275191755256,45.3304447765356,3844,RG,314190.3075827707,428385.5400110142
145,145,295.0,42.0,8.0,Tarcu,Hideg1,86.0,138.0,308405.3122,422504.927,6.0,378.2025152,9854.60178,22.5560462447932,45.2759915464415,3844,RG,308405.3130864939,422504.9271121393
146,146,296.0,43.0,3.0,Tarcu,Apa Neagra4,239.0,77.0,320458.241,436310.8455,3.0,537.1834454,13523.43237,22.7045453430457,45.4033692460675,3844,RG,320458.24187863496,436310.84560960316
147,147,297.0,44.0,8.0,Tarcu,Apa Neagra3,60.0,329.0,320570.8674,436150.7278,3.0,717.3249519,14206.49093,22.7060419434896,45.4019581589943,3844,RG,320570.86827858794,436150.7279096147
148,148,298.0,45.0,6.0,Tarcu, ,61.0,169.0,318085.0741,433395.7502,3.0,424.1016052,6524.547049,22.6753266317347,45.3765342975977,3844,RG,318085.074980194,433395.7503101241
149,149,299.0,46.0,4.0,Tarcu, ,76.0,91.0,317532.7206,432877.7621,3.0,321.3482876,6422.104207,22.6684703086799,45.3717309688172,3844,RG,317532.7214805484,432877.7622102255
150,150,300.0,47.0,4.0,Tarcu, ,91.0,74.0,317406.8224,432874.4281,3.0,276.7731915,5215.250896,22.6668650341698,45.3716679880913,3844,RG,317406.8232806165,432874.42821023247
151,151,301.0,48.0,5.0,Tarcu, ,59.0,136.0,317291.7436,432903.2782,3.0,366.614944,6697.757958,22.6653858450776,45.3718972887503,3844,RG,317291.74448068184,432903.27831024653
152,152,302.0,49.0,2.0,Tarcu, ,103.0,186.0,319802.4287,434631.0673,3.0,492.4037595,14582.62642,22.6967893176088,45.3880914919473,3844,RG,319802.4295791317,434631.0674098572
153,153,303.0,50.0,8.0,Tarcu, ,204.0,151.0,313905.5447,427935.8717,4.0,607.7383309,25863.47721,22.6240583624133,45.3263245666241,3844,RG,313905.54558297,427935.8718110792
154,154,304.0,51.0,1.0,Tarcu, ,507.0,211.0,318097.3294,432637.183,3.0,1223.705658,72077.62576,22.6757641266467,45.3697148632078,3844,RG,318097.3302802413,432637.1831102182
155,155,305.0,52.0,8.0,Tarcu, ,337.0,170.0,318327.6759,432680.7968,3.0,869.8034458,38921.74681,22.6786872194605,45.3701672503157,3844,RG,318327.6767801082,432680.79691019875
156,156,,,,Retezat,Retezat_900,,,5024449.0,636742.0,,,,22.7459450223815,45.3602090504259,32634,RW,323563.0552771887,431424.0077873608
157,157,,,,Retezat,Pietrele,,,5025601.0,646696.0,,,,22.8733155683678,45.3685600246077,32634,RW,333563.2133196583,432078.81104185496
158,158,,,,Retezat,RW_Berbeci,,,5024741.0,647470.0,,,,22.8829374590389,45.3606605472498,32634,RW,334293.47752074583,431181.25183906296
159,159,,,,Retezat,Turnul_Portii_S,,,5024602.0,645475.0,,,,22.8574373674251,45.3598270253382,32634,RW,332293.8566365071,431141.7853611914
160,160,,,,Retezat,Turnul_Portii_N,,,5024568.0,645452.0,,,,22.8571338463174,45.3595259145261,32634,RW,332269.1894524505,431108.97008489945
161,161,,,,Retezat,Peleaga,,,5025445.0,648186.0,,,,22.8922857538727,45.3668429915349,32634,RW,335043.7127378755,431848.76833077444
